iteration,avg_mee,std_mee,params
10,23.3836,1.1005,"{'learning_rate': np.float64(0.0012867361659766913), 'l2_lambda': np.float64(0.007888079647268958), 'batch_size': 16, 'hidden_layers': [30], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.8218966315895274), 'use_batch_norm': False, 'dropout_rate': np.float64(0.19205400249725366), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
37,23.5249,0.5705,"{'learning_rate': np.float64(0.0018545991212417176), 'l2_lambda': np.float64(0.000535656862657687), 'batch_size': 16, 'hidden_layers': [40], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.816348363763647), 'use_batch_norm': True, 'dropout_rate': np.float64(0.1686697391128307), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
20,23.5429,1.0223,"{'learning_rate': np.float64(0.0001294506461169272), 'l2_lambda': np.float64(0.007138981580963575), 'batch_size': 32, 'hidden_layers': [32, 16], 'hidden_activation': 'elu', 'optimizer': 'sgd', 'momentum': np.float64(0.8293304715185332), 'use_batch_norm': False, 'dropout_rate': np.float64(0.04026942470296428), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
45,23.7800,0.9998,"{'learning_rate': np.float64(0.037630145638350584), 'l2_lambda': np.float64(0.0003423011573400899), 'batch_size': 32, 'hidden_layers': [64, 32], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.8160828396970283), 'use_batch_norm': True, 'dropout_rate': np.float64(0.23454154207671984), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
44,23.9834,0.8457,"{'learning_rate': np.float64(0.0017195912267781407), 'l2_lambda': np.float64(0.010389562184359455), 'batch_size': 16, 'hidden_layers': [20, 10], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': np.float64(0.8657856625310117), 'use_batch_norm': False, 'dropout_rate': np.float64(0.18488672624645697), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
21,24.3360,1.1737,"{'learning_rate': np.float64(0.00015834938139336192), 'l2_lambda': np.float64(0.0002448066159443825), 'batch_size': 16, 'hidden_layers': [20, 10], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.9737126432508093), 'use_batch_norm': True, 'dropout_rate': np.float64(0.04152699069785658), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
29,24.5291,0.7228,"{'learning_rate': np.float64(0.05107471059978491), 'l2_lambda': np.float64(0.010355165099427311), 'batch_size': 16, 'hidden_layers': [20], 'hidden_activation': 'elu', 'optimizer': 'sgd', 'momentum': np.float64(0.8185350972521148), 'use_batch_norm': False, 'dropout_rate': np.float64(0.23249818169431008), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
7,24.9547,1.1152,"{'learning_rate': np.float64(0.0001439959059080153), 'l2_lambda': np.float64(0.0009338083841244492), 'batch_size': 32, 'hidden_layers': [20, 10], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.8555478039934187), 'use_batch_norm': True, 'dropout_rate': np.float64(0.16457638942531447), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
38,25.0759,0.5846,"{'learning_rate': np.float64(0.0004438305947507076), 'l2_lambda': np.float64(0.005182164633696748), 'batch_size': 16, 'hidden_layers': [64, 32], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': np.float64(0.9776790014695675), 'use_batch_norm': False, 'dropout_rate': np.float64(0.2542020251933655), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
12,25.1221,0.4749,"{'learning_rate': np.float64(0.0001439959059080153), 'l2_lambda': np.float64(0.0009338083841244492), 'batch_size': 16, 'hidden_layers': [30, 15], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': np.float64(0.8555478039934187), 'use_batch_norm': False, 'dropout_rate': np.float64(0.16457638942531447), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
28,25.2063,1.4592,"{'learning_rate': np.float64(0.0002773114049515292), 'l2_lambda': np.float64(0.013568288873554346), 'batch_size': 16, 'hidden_layers': [64, 32], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': np.float64(0.9696916132174971), 'use_batch_norm': False, 'dropout_rate': np.float64(0.20836580455429368), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
41,25.4308,0.8274,"{'learning_rate': np.float64(0.04900658151552946), 'l2_lambda': np.float64(0.0248497201005392), 'batch_size': 32, 'hidden_layers': [20], 'hidden_activation': 'elu', 'optimizer': 'sgd', 'momentum': np.float64(0.9088113793674238), 'use_batch_norm': True, 'dropout_rate': np.float64(0.2981406243213287), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
