iteration,avg_mee,std_mee,params
20,26.1921,1.4555,"{'learning_rate': 0.03272890367626826, 'l2_lambda': 0.0007586638943828006, 'batch_size': 128, 'hidden_layers': [128, 128, 64, 32], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'adam', 'momentum': 0.8579411947057897}"
21,21.8730,0.5892,"{'learning_rate': 0.0001159914880612809, 'l2_lambda': 3.7216168973959564e-05, 'batch_size': 128, 'hidden_layers': [256, 128, 64, 32], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8993351309115775}"
22,22.8483,0.4557,"{'learning_rate': 0.0002791463512446191, 'l2_lambda': 0.0013188819825034465, 'batch_size': 16, 'hidden_layers': [256], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9114774274078932}"
23,20.4343,0.5404,"{'learning_rate': 0.005013130549470936, 'l2_lambda': 4.919432424344247e-07, 'batch_size': 32, 'hidden_layers': [256, 128, 64, 32], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8533133961350106}"
53,21.1256,0.7213,"{'learning_rate': 0.0001538207314074768, 'l2_lambda': 0.00015820567334261885, 'batch_size': 32, 'hidden_layers': [256, 128, 64, 32], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.8893775569032403}"
24,20.9125,0.6416,"{'learning_rate': 0.00024409259396241192, 'l2_lambda': 7.102099653396832e-05, 'batch_size': 16, 'hidden_layers': [512, 256, 64], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9887296364926819}"
25,18.0424,0.6896,"{'learning_rate': 0.005541145648003442, 'l2_lambda': 0.003404989000472383, 'batch_size': 16, 'hidden_layers': [256, 128, 64], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9114767773338317}"
54,21.3882,0.7339,"{'learning_rate': 0.00035144780726389794, 'l2_lambda': 4.252130362589487e-05, 'batch_size': 16, 'hidden_layers': [64], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'adam', 'momentum': 0.8752302516157475}"
55,21.1275,0.7471,"{'learning_rate': 0.00742790095710259, 'l2_lambda': 1.2699906158401473e-07, 'batch_size': 32, 'hidden_layers': [512, 128], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8977474805711735}"
56,21.7079,0.7623,"{'learning_rate': 0.000258872694682178, 'l2_lambda': 1.080685518680902e-07, 'batch_size': 256, 'hidden_layers': [128, 128, 64, 32], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9122669144331104}"
57,20.1287,0.7885,"{'learning_rate': 0.002475497489990637, 'l2_lambda': 4.757430408431497e-05, 'batch_size': 16, 'hidden_layers': [256, 128, 64, 32], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.9005932068457485}"
58,20.9075,0.5475,"{'learning_rate': 0.0020725374067933665, 'l2_lambda': 2.9438992742311013e-05, 'batch_size': 64, 'hidden_layers': [256, 64, 32], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9870888514984584}"
59,26.8934,0.7637,"{'learning_rate': 0.05793497359613214, 'l2_lambda': 1.7100035808748462e-05, 'batch_size': 128, 'hidden_layers': [256, 128], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9090970129004212}"
60,21.4249,0.5818,"{'learning_rate': 0.00044527195113452315, 'l2_lambda': 2.5851731352352595e-06, 'batch_size': 32, 'hidden_layers': [512, 128], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9639670399026781}"
26,21.1605,0.6967,"{'learning_rate': 0.0003451681663680016, 'l2_lambda': 8.612597467009488e-05, 'batch_size': 32, 'hidden_layers': [256, 64], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.8831810484265339}"
